,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
143,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'RefBks'})",0.276,0.1515,0.094,0.3405797101449275,2.2480508920457263,0.052185999999999996,1.2867362637362636,0.7668096861408252
144,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'GeogBks'}),0.1625,0.276,0.102,0.6276923076923077,2.274247491638796,0.057149999999999986,1.9446280991735534,0.6690079016681297
145,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'ArtBks'}),0.195,0.241,0.102,0.523076923076923,2.1704436642195977,0.05500499999999999,1.5914516129032255,0.6698940445743514
146,"frozenset({'GeogBks', 'ArtBks'})",frozenset({'ChildBks'}),0.1275,0.423,0.102,0.7999999999999999,1.8912529550827422,0.04806749999999999,2.884999999999999,0.5401146131805157
147,frozenset({'ChildBks'}),"frozenset({'GeogBks', 'ArtBks'})",0.423,0.1275,0.102,0.24113475177304963,1.8912529550827422,0.04806749999999999,1.1497429906542056,0.8167244367417678
148,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.241,0.195,0.102,0.42323651452282157,2.1704436642195977,0.05500499999999999,1.3957194244604316,0.7104936836394635
149,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.276,0.1625,0.102,0.36956521739130427,2.2742474916387954,0.057149999999999986,1.3284482758620688,0.7738869028274291
150,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'GeogBks'}),0.085,0.276,0.0525,0.6176470588235293,2.2378516624040916,0.029039999999999993,1.893538461538461,0.604527712724434
151,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'ItalCook'}),0.195,0.1135,0.0525,0.2692307692307692,2.3720772619451034,0.030367499999999995,1.2131052631578945,0.718544809228039
152,"frozenset({'ItalCook', 'GeogBks'})",frozenset({'ChildBks'}),0.064,0.423,0.0525,0.8203125,1.93927304964539,0.025428,3.2111304347826084,0.5174603174603175
153,frozenset({'ChildBks'}),"frozenset({'ItalCook', 'GeogBks'})",0.423,0.064,0.0525,0.12411347517730496,1.93927304964539,0.025428,1.0686315789473684,0.8394156969546919
154,frozenset({'ItalCook'}),"frozenset({'ChildBks', 'GeogBks'})",0.1135,0.195,0.0525,0.46255506607929514,2.3720772619451034,0.030367499999999995,1.497827868852459,0.6524856981709772
155,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'ItalCook'})",0.276,0.085,0.0525,0.1902173913043478,2.2378516624040916,0.029039999999999993,1.1299328859060402,0.7640094711917915
156,"frozenset({'CookBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.1875,0.2475,0.095,0.5066666666666667,2.047138047138047,0.048593750000000005,1.525337837837838,0.6295546558704453
157,"frozenset({'CookBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.162,0.282,0.095,0.5864197530864197,2.079502670519219,0.049316000000000006,1.736059701492537,0.6194699158397187
158,"frozenset({'DoItYBks', 'YouthBks'})",frozenset({'CookBks'}),0.1155,0.431,0.095,0.8225108225108225,1.908377778447384,0.0452195,3.2058292682926828,0.5381512004998364
159,frozenset({'CookBks'}),"frozenset({'DoItYBks', 'YouthBks'})",0.431,0.1155,0.095,0.22041763341067286,1.9083777784473839,0.0452195,1.1345818452380951,0.8365461104430673
160,frozenset({'DoItYBks'}),"frozenset({'CookBks', 'YouthBks'})",0.282,0.162,0.095,0.3368794326241135,2.079502670519219,0.049316000000000006,1.26372192513369,0.7230024923031815
161,frozenset({'YouthBks'}),"frozenset({'CookBks', 'DoItYBks'})",0.2475,0.1875,0.095,0.38383838383838387,2.047138047138047,0.048593750000000005,1.3186475409836067,0.6797517048435042
162,"frozenset({'CookBks', 'RefBks'})",frozenset({'YouthBks'}),0.1525,0.2475,0.0775,0.5081967213114754,2.0533200861069716,0.03975625,1.5300833333333332,0.6052907032067751
163,"frozenset({'CookBks', 'YouthBks'})",frozenset({'RefBks'}),0.162,0.2145,0.0775,0.478395061728395,2.2302800080577856,0.042751,1.50592899408284,0.658264685503118
164,"frozenset({'RefBks', 'YouthBks'})",frozenset({'CookBks'}),0.0965,0.431,0.0775,0.8031088082901554,1.8633615041534928,0.035908499999999996,2.8899210526315784,0.512822893050324
165,frozenset({'CookBks'}),"frozenset({'RefBks', 'YouthBks'})",0.431,0.0965,0.0775,0.17981438515081208,1.863361504153493,0.035908499999999996,1.1015799151343706,0.8142978626906286
166,frozenset({'RefBks'}),"frozenset({'CookBks', 'YouthBks'})",0.2145,0.162,0.0775,0.3613053613053613,2.2302800080577856,0.042751,1.3120510948905109,0.7022607338658343
167,frozenset({'YouthBks'}),"frozenset({'CookBks', 'RefBks'})",0.2475,0.1525,0.0775,0.31313131313131315,2.0533200861069716,0.03975625,1.233860294117647,0.6817061408209195
168,"frozenset({'CookBks', 'ArtBks'})",frozenset({'YouthBks'}),0.167,0.2475,0.081,0.48502994011976047,1.95971692977681,0.0396675,1.4612499999999997,0.5879018273976256
169,"frozenset({'CookBks', 'YouthBks'})",frozenset({'ArtBks'}),0.162,0.241,0.081,0.5,2.074688796680498,0.041958,1.518,0.6181384248210025
170,"frozenset({'ArtBks', 'YouthBks'})",frozenset({'CookBks'}),0.101,0.431,0.081,0.8019801980198019,1.8607429188394475,0.037469,2.8734499999999987,0.5145497740974196
171,frozenset({'CookBks'}),"frozenset({'ArtBks', 'YouthBks'})",0.431,0.101,0.081,0.18793503480278423,1.8607429188394478,0.037469,1.1070542857142858,0.8129705569658705
172,frozenset({'ArtBks'}),"frozenset({'CookBks', 'YouthBks'})",0.241,0.162,0.081,0.3360995850622407,2.074688796680498,0.041958,1.2622375,0.6824769433465085
173,frozenset({'YouthBks'}),"frozenset({'CookBks', 'ArtBks'})",0.2475,0.167,0.081,0.32727272727272727,1.95971692977681,0.0396675,1.238243243243243,0.6507936507936508
174,"frozenset({'CookBks', 'GeogBks'})",frozenset({'YouthBks'}),0.1925,0.2475,0.097,0.503896103896104,2.0359438541256725,0.049356250000000004,1.5168193717277487,0.6301267115636271
175,"frozenset({'CookBks', 'YouthBks'})",frozenset({'GeogBks'}),0.162,0.276,0.097,0.5987654320987654,2.1694399713723382,0.052288,1.804430769230769,0.6432596018994661
176,"frozenset({'GeogBks', 'YouthBks'})",frozenset({'CookBks'}),0.1205,0.431,0.097,0.8049792531120332,1.867701283322583,0.04506450000000001,2.9176382978723407,0.5282347631913635
177,frozenset({'CookBks'}),"frozenset({'GeogBks', 'YouthBks'})",0.431,0.1205,0.097,0.22505800464037123,1.867701283322583,0.04506450000000001,1.1349236526946107,0.8164894098889354
178,frozenset({'GeogBks'}),"frozenset({'CookBks', 'YouthBks'})",0.276,0.162,0.097,0.35144927536231885,2.1694399713723387,0.052288,1.2921117318435753,0.7445463347952384
179,frozenset({'YouthBks'}),"frozenset({'CookBks', 'GeogBks'})",0.2475,0.1925,0.097,0.39191919191919194,2.0359438541256725,0.049356250000000004,1.3279485049833888,0.6761824845018324
180,"frozenset({'CookBks', 'ItalCook'})",frozenset({'YouthBks'}),0.1135,0.2475,0.059,0.5198237885462554,2.100298135540426,0.030908749999999995,1.5671330275229354,0.5909499364287284
181,"frozenset({'CookBks', 'YouthBks'})",frozenset({'ItalCook'}),0.162,0.1135,0.059,0.3641975308641975,3.2087888181867616,0.040612999999999996,1.3943009708737861,0.8214271267343555
